Sample,Accession,ClusterLabel
1,NC_002549,1
2,KM233039,1
3,KM233050,1
4,KM233053,1
5,KM233057,1
6,KM233063,1
7,KM233070,1
8,KM233072,1
9,KM233096,1
10,KM233097,1
11,KM233099,1
12,KM233103,1
13,KM233109,1
14,KM233110,1
15,KM034555,1
16,KM034557,1
17,KM034560,1
18,KM034562,1
19,KJ660346,1
20,KJ660347,1
21,KJ660348,1
22,KC545389,2
23,KC545390,2
24,KC545391,2
25,KC545392,2
26,KC545393,4
27,KC545394,4
28,KC545395,4
29,KC545396,4
30,KC589025,2
31,JX477165,3
32,JX477166,3
33,KC242783,2
34,KC242784,1
35,KC242785,1
36,KC242786,1
37,KC242787,1
38,KC242788,1
39,KC242789,1
40,KC242790,1
41,KC242791,1
42,KC242792,1
43,KC242793,1
44,KC242794,1
45,KC242796,1
46,KC242799,1
47,KC242800,1
48,KC242801,1
49,JN638998,2
50,FJ621583,3
51,FJ621585,3
52,FJ968794,2
53,FJ217161,4
54,FJ217162,5
55,EU338380,2
56,AY729654,2
57,AY354458,1
58,AF522874,3
59,AB050936,3
